PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
65. Jack Hughes,NJD,22,C,Left,62,27,47,74,1.19,-12,274,0.10,20:58,-,-,-,-,-,,UFA,"$8,000,000","$8,500,000"
66. J.T. Miller,VAN,30,"C, LW, RW",Left,81,37,66,103,1.27,32,194,0.19,19:29,-,-,-,-,-,NMC,UFA,"$8,000,000","$9,500,000"
67. Joshua Norris,OTT,24,C,Left,50,16,14,30,0.60,-6,115,0.14,17:38,-,-,-,-,-,,UFA,"$7,950,000","$6,500,000"
68. Jesper Bratt,NJD,24,"RW, LW",Left,82,27,56,83,1.01,-6,248,0.11,19:18,-,-,-,-,-,,UFA,"$7,875,000","$10,000,000"
69. Victor Hedman,TBL,32,LD,Left,78,13,63,76,0.97,18,168,0.08,24:48,-,-,-,-,-,M-NTC,UFA,"$7,875,000","$8,000,000"
70. Nick Suzuki,MTL,23,C,Right,82,33,44,77,0.94,-14,185,0.18,21:15,-,-,-,-,-,,UFA,"$7,875,000","$10,000,000"
71. Kevin Fiala,LAK,26,"RW, LW",Left,82,29,44,73,0.89,1,225,0.13,18:02,-,-,-,-,-,NMC,UFA,"$7,875,000","$8,125,000"
72. Alex DeBrincat,DET,25,"LW, RW",Right,82,27,40,67,0.82,1,237,0.11,17:53,-,-,-,-,-,,UFA,"$7,875,000","$8,250,000"
73. Shea Weber,UTA,37,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$7,857,143","$1,000,000"
74. Quinn Hughes,VAN,23,LD,Left,82,17,75,92,1.12,38,199,0.09,24:41,-,-,-,-,-,,UFA,"$7,850,000","$8,600,000"
75. Cole Caufield,MTL,22,"LW, RW",Right,82,28,37,65,0.79,-4,314,0.09,19:25,-,-,-,-,-,,UFA,"$7,850,000","$9,975,000"
76. Evgeny Kuznetsov,CAR,31,C,Left,63,8,16,24,0.38,-11,96,0.08,17:33,-,-,-,-,-,M-NTC,UFA,"$7,800,000","$8,000,000"
77. Andrei Svechnikov,CAR,23,"LW, RW",Left,59,19,33,52,0.88,13,144,0.13,16:58,-,-,-,-,-,,UFA,"$7,750,000","$9,000,000"
78. Jason Robertson,DAL,23,"LW, RW",Left,82,29,51,80,0.98,19,231,0.13,18:19,-,-,-,-,-,,RFA,"$7,750,000","$8,000,000"
79. Dmitry Orlov,CAR,31,LD,Left,82,6,20,26,0.32,4,129,0.05,17:18,-,-,-,-,-,,UFA,"$7,750,000","$7,750,000"
80. Sean Couturier,PHI,30,C,Left,74,11,27,38,0.51,-10,192,0.06,17:49,-,-,-,-,-,NMC,UFA,"$7,750,000","$9,000,000"
81. Jared Spurgeon,MIN,33,RD,Right,16,0,5,5,0.31,5,21,0.00,23:19,-,-,-,-,-,NMC,UFA,"$7,575,000","$8,000,000"
82. Aaron Ekblad,FLA,27,RD,Right,51,4,14,18,0.35,27,98,0.04,20:51,-,-,-,-,-,NMC,UFA,"$7,500,000","$7,000,000"
83. Morgan Rielly,TOR,29,LD,Left,72,7,51,58,0.81,7,173,0.04,23:44,-,-,-,-,-,NMC,UFA,"$7,500,000","$10,000,000"
84. Elias Pettersson,VAN,24,"C, LW",Left,82,34,55,89,1.09,20,207,0.16,19:39,-,-,-,-,-,,RFA,"$7,350,000","$10,250,000"
85. Vince Dunn,SEA,26,LD/RD,Left,59,11,35,46,0.78,8,120,0.09,23:05,-,-,-,-,-,,UFA,"$7,350,000","$9,000,000"
86. Nico Hischier,NJD,24,C,Left,71,27,40,67,0.94,-5,182,0.15,19:28,-,-,-,-,-,,UFA,"$7,250,000","$7,750,000"
87. Clayton Keller,UTA,24,"LW, RW",Left,78,33,43,76,0.97,-20,228,0.14,19:14,-,-,-,-,-,,UFA,"$7,150,000","$6,000,000"
88. Kyle Connor,WPG,26,LW,Left,65,34,27,61,0.94,-6,221,0.15,19:43,-,-,-,-,-,,UFA,"$7,142,857","$7,500,000"
89. Kevin Hayes,STL,31,C,Left,79,13,16,29,0.37,0,153,0.09,14:28,-,-,-,-,-,M-NTC,UFA,"$7,142,857","$6,500,000"
90. Tage Thompson,BUF,25,C,Right,71,29,27,56,0.79,-1,246,0.12,18:07,-,-,-,-,-,,UFA,"$7,142,857","$7,142,858"
91. Dylan Cozens,BUF,22,"C, LW",Right,79,18,29,47,0.59,-4,200,0.09,17:13,-,-,-,-,-,,UFA,"$7,100,000","$7,100,000"
92. Marc-Édouard Vlasic,SJS,36,LD/RD,Left,57,6,6,12,0.21,-27,72,0.08,16:16,-,-,-,-,-,M-NTC,UFA,"$7,000,000","$7,250,000"
93. Gabriel Landeskog,COL,30,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,NMC,UFA,"$7,000,000","$9,000,000"
94. Nazem Kadri,CGY,32,C,Left,82,29,46,75,0.91,0,277,0.10,18:25,-,-,-,-,-,NMC,UFA,"$7,000,000","$7,000,000"
95. Matthew Boldy,MIN,22,"RW, LW",Left,75,29,40,69,0.92,5,227,0.13,18:54,-,-,-,-,-,,UFA,"$7,000,000","$8,000,000"
96. Anders Lee,NYI,32,LW,Left,81,20,17,37,0.46,2,185,0.11,15:34,-,-,-,-,-,NTC,UFA,"$7,000,000","$8,950,000"
97. Troy Terry,ANA,25,RW,Right,76,20,34,54,0.71,-10,172,0.12,18:17,-,-,-,-,-,,UFA,"$7,000,000","$7,000,000"
98. William Nylander,TOR,27,RW,Right,82,40,58,98,1.20,1,316,0.13,19:54,-,-,-,-,-,NMC,UFA,"$6,962,366","$6,000,000"
99. Brent Seabrook,-,38,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,M-NTC,UFA,"$6,875,000","$4,500,000"
100. Ivan Provorov,CBJ,26,LD,Left,82,5,27,32,0.39,-11,107,0.05,22:09,-,-,-,-,-,,UFA,"$6,750,000","$8,500,000"
101. Ryan McDonagh,TBL,34,LD,Left,74,3,29,32,0.43,19,91,0.03,21:47,-,-,-,-,-,NTC,UFA,"$6,750,000","$8,400,000"
102. Brock Boeser,VAN,26,RW,Right,81,40,33,73,0.90,23,204,0.20,18:36,-,-,-,-,-,,UFA,"$6,650,000","$6,650,000"
103. Chris Kreider,NYR,32,LW,Left,82,39,36,75,0.91,19,246,0.16,18:47,-,-,-,-,-,NMC,UFA,"$6,500,000","$5,000,000"
104. Hampus Lindholm,BOS,29,LD,Left,73,3,23,26,0.36,18,99,0.03,23:17,-,-,-,-,-,"NTC, NMC",UFA,"$6,500,000","$8,000,000"
105. Cam Fowler,ANA,31,LD/RD,Left,81,5,34,39,0.48,-36,109,0.05,24:25,-,-,-,-,-,M-NTC,UFA,"$6,500,000","$7,500,000"
