player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
Simon Nemec,60,3,16,19,-7,33,0.32,3,17,0,2,0,0,0,1,73,4.1,19.87,0.0,5.05,73,201,112,0.25,3.68,10.11,5.64,614,595,50.79,1253,1227,50.52,877,871,50.17,65.77,64.52,50.48,NJD,NJD,R,D,19,Other,190,72,False,Right,NJD,False,2022-07-14,18,None,3,ELC,restricted,2026,4168333
Chris Tanev,75,2,17,19,22,24,0.25,2,19,0,0,0,0,0,0,56,3.6,19.68,0.0,1.44,56,118,76,0.06,2.27,4.8,3.09,677,717,48.57,1327,1563,45.92,986,1070,47.96,74.31,83.42,47.12,CGY,DAL,R,D,33,Canada,197,74,False,Right,CGY,False,2020-10-09,30,M-NTC,4,UFA,unrestricted,2024,4500000
Mikhail Sergachev,34,2,17,19,-16,16,0.56,2,12,0,7,0,0,0,0,53,3.8,22.55,0.0,2.85,53,141,81,0.22,4.15,11.03,6.34,364,403,47.46,721,763,48.58,519,551,48.5,42.06,44.37,48.66,TBL,TBL,L,D,25,Russia,217,74,True,Left,TBL,True,2022-07-13,25,None,8,RFA,unrestricted,2031,8500000
Nils Lundkvist,59,2,17,19,13,16,0.32,2,17,0,2,0,0,0,0,73,2.7,14.1,0.0,2.62,73,177,104,0.19,5.26,12.76,7.5,427,379,52.98,940,771,54.94,652,565,53.57,42.39,34.96,54.8,DAL,DAL,R,D,22,Sweden,187,71,False,Right,NYR,False,2021-06-03,20,None,3,ELC,unrestricted,2024,1775000
Luke Kunin,77,11,7,18,-30,83,0.23,9,13,2,5,0,0,0,1,98,11.2,15.73,45.6,12.95,98,195,146,0.65,4.91,9.77,7.32,420,793,34.61,907,1575,36.54,626,1142,35.4,42.31,90.2,31.93,SJS,SJS,R,C,25,United States,197,72,True,Right,SJS,False,2022-07-18,24,None,2,RFA,restricted,2024,2750000
Morgan Barron,80,11,7,18,10,23,0.23,11,17,0,1,0,0,0,3,94,11.7,10.5,46.3,9.73,94,149,121,0.7,6.72,10.65,8.65,346,433,44.42,691,877,44.07,496,625,44.25,30.81,46.77,39.71,WPG,WPG,L,C,24,Canada,220,76,True,Left,WPG,False,2023-07-17,24,None,2,RFA,restricted,2025,1350000
Sean Kuraly,62,9,9,18,-5,40,0.29,9,17,0,0,0,1,0,0,92,9.8,13.73,48.1,8.8,92,167,126,0.62,6.48,11.77,8.88,350,513,40.56,729,1036,41.3,516,746,40.89,30.23,56.1,35.02,CBJ,CBJ,L,C,30,United States,213,74,True,Left,CBJ,False,2021-07-28,28,M-NTC,4,UFA,unrestricted,2025,2500000
Keegan Kolesar,79,8,10,18,-8,49,0.23,7,16,0,0,1,2,0,2,73,11.0,10.87,40.0,7.28,72,140,104,0.51,5.09,9.9,7.36,348,411,45.85,744,882,45.76,495,607,44.92,31.32,35.29,47.02,VGK,VGK,R,R,26,Canada,216,74,False,Right,VGK,False,2022-08-05,25,None,3,RFA,unrestricted,2025,1400000
Parker Kelly,80,8,10,18,-8,30,0.23,6,15,0,0,2,3,0,0,86,9.3,11.7,23.9,9.25,85,179,126,0.59,5.45,11.47,8.07,359,502,41.7,759,1048,42.0,527,703,42.85,31.57,54.07,36.86,OTT,OTT,L,L,24,Canada,188,72,False,Left,OTT,True,2021-10-12,23,None,2,RFA,unrestricted,2024,762500
Radko Gudas,66,6,12,18,14,128,0.27,6,17,0,0,0,1,0,0,88,6.8,19.5,0.0,2.81,87,214,141,0.13,4.13,10.15,6.69,517,718,41.86,1032,1492,40.89,759,1053,41.89,50.59,75.79,40.03,ANA,ANA,R,D,33,Other,205,72,False,Right,ANA,False,2023-07-01,33,NTC,3,UFA,unrestricted,2026,4000000
Noah Cates,59,6,12,18,-8,0,0.31,6,16,0,0,0,2,0,1,78,7.7,13.8,44.6,9.71,78,157,113,0.72,5.75,11.57,8.33,421,324,56.51,818,766,51.64,606,478,55.9,43.35,33.29,56.56,PHI,PHI,L,L,24,United States,170,73,True,Left,PHI,False,2023-07-10,24,None,2,RFA,restricted,2025,2625000
Adam Larsson,81,4,14,18,6,55,0.22,4,17,0,0,0,1,0,1,130,3.1,22.95,0.0,7.4,128,300,184,0.24,4.18,9.8,6.01,751,1018,42.45,1664,2047,44.84,1104,1522,42.04,74.23,111.16,40.04,SEA,SEA,R,D,30,Sweden,208,75,False,Right,SEA,True,2021-07-21,28,M-NTC,4,UFA,unrestricted,2025,4000000
Olli Maatta,72,4,14,18,14,14,0.25,4,18,0,0,0,0,0,0,48,8.3,16.05,0.0,2.92,48,123,72,0.15,2.49,6.38,3.74,465,549,45.86,945,1111,45.96,664,799,45.39,45.28,49.14,47.96,DET,DET,L,D,28,Finland,206,74,False,Left,DET,True,2023-02-16,28,None,2,UFA,unrestricted,2025,3000000
Connor Clifton,79,4,14,18,12,88,0.23,4,18,0,0,0,0,0,1,77,5.2,16.55,0.0,4.34,77,159,111,0.2,3.53,7.29,5.09,562,697,44.64,1090,1382,44.09,798,1017,43.97,54.93,79.09,40.99,BUF,BUF,R,D,28,United States,175,71,False,Right,BUF,False,2023-07-01,28,None,3,UFA,unrestricted,2026,3333333
Aaron Ekblad,51,4,14,18,27,50,0.35,3,14,1,4,0,0,0,1,98,4.1,20.87,0.0,6.13,98,226,151,0.35,5.53,12.74,8.52,569,525,52.01,1192,997,54.45,833,746,52.75,65.06,55.97,53.76,FLA,FLA,R,D,27,Canada,215,76,False,Right,FLA,True,2016-07-01,20,NMC,8,RFA,unrestricted,2025,7500000
Samuel Girard,59,3,15,18,0,10,0.31,3,17,0,1,0,0,0,0,73,4.1,19.38,0.0,3.95,72,188,104,0.21,3.78,9.86,5.46,621,576,51.88,1236,1135,52.13,870,806,51.91,57.36,61.28,48.35,COL,COL,L,D,25,Canada,170,70,True,Left,COL,True,2019-07-31,22,None,7,RFA,unrestricted,2027,5000000
Mikey Anderson,74,2,16,18,22,18,0.24,2,17,0,0,0,1,0,0,89,2.3,20.63,0.0,4.53,88,204,131,0.18,3.5,8.11,5.21,685,730,48.41,1375,1529,47.35,986,1076,47.82,64.73,78.51,45.19,LAK,LAK,L,D,24,United States,194,71,False,Left,LAK,True,2023-02-15,24,None,8,RFA,unrestricted,2031,4125000
Dylan Samberg,78,1,17,18,16,43,0.23,1,16,0,1,0,1,0,0,77,1.3,15.63,0.0,2.12,77,180,108,0.11,3.86,9.02,5.42,536,589,47.64,1063,1221,46.54,762,870,46.69,49.39,64.7,43.29,WPG,WPG,L,D,24,United States,190,75,False,Left,WPG,False,2023-07-05,24,None,2,RFA,restricted,2025,1400000
Yakov Trenin,76,12,5,17,15,40,0.22,12,16,0,0,0,1,0,3,116,10.3,14.57,45.0,16.68,115,241,183,0.91,6.3,13.21,10.02,480,554,46.42,999,1112,47.32,714,793,47.38,50.43,56.29,47.25,NSH,COL,L,C,26,Russia,201,74,True,Left,NSH,False,2022-08-05,25,None,2,RFA,unrestricted,2024,1700000
Garnet Hathaway,82,7,10,17,-7,132,0.21,6,14,0,0,1,3,0,1,103,6.8,12.48,66.7,13.26,104,190,149,0.78,6.09,11.13,8.72,463,441,51.22,917,1111,45.22,662,684,49.18,43.76,48.02,47.68,PHI,PHI,R,R,31,United States,210,75,True,Right,PHI,False,2023-07-01,31,None,2,UFA,unrestricted,2025,2375000
Pontus Holmberg,54,7,10,17,11,18,0.31,7,17,0,0,0,0,0,1,54,13.0,11.57,46.3,6.66,54,97,79,0.64,5.19,9.32,7.59,281,286,49.56,579,660,46.73,414,451,47.86,26.57,30.93,46.21,TOR,TOR,L,R,24,Sweden,175,70,True,Left,TOR,True,2023-06-28,24,None,2,RFA,restricted,2025,800000
Anthony Beauvillier,60,5,12,17,-8,8,0.28,3,13,2,4,0,0,0,0,105,4.8,13.58,51.3,11.17,104,198,161,0.82,7.66,14.58,11.85,393,412,48.82,798,839,48.75,571,588,49.27,40.39,36.63,52.44,VAN,NSH,L,L,26,Canada,182,71,True,Left,NYI,False,2021-09-01,24,None,3,RFA,unrestricted,2024,4150000
Joey Anderson,55,5,12,17,5,8,0.31,5,17,0,0,0,0,0,0,57,8.8,13.55,0.0,5.89,56,104,78,0.48,4.59,8.53,6.4,278,321,46.41,571,675,45.83,388,465,45.49,24.71,31.21,44.19,CHI,CHI,R,R,25,United States,190,71,False,Right,CHI,True,2023-06-22,25,None,1,RFA,unrestricted,2024,800000
Alec Martinez,55,4,13,17,-2,6,0.31,4,14,0,3,0,0,0,0,72,5.6,19.05,0.0,2.7,71,180,105,0.16,4.13,10.47,6.11,489,576,45.92,979,1304,42.88,677,848,44.39,44.11,53.25,45.31,VGK,VGK,L,D,35,United States,209,73,False,Left,VGK,True,2021-07-28,33,M-NTC,3,UFA,unrestricted,2024,5250000
Peyton Krebs,80,4,13,17,2,67,0.21,4,17,0,0,0,0,0,2,74,5.4,12.5,46.3,7.85,74,141,111,0.47,4.44,8.46,6.66,461,441,51.11,947,896,51.38,692,665,50.99,41.91,45.03,48.21,BUF,BUF,L,C,22,Canada,180,71,True,Left,VGK,False,2019-11-16,18,None,3,ELC,restricted,2024,1275833
Niko Mikkola,82,3,14,17,11,69,0.21,3,16,0,0,0,1,0,0,93,3.2,20.03,0.0,4.49,93,213,128,0.16,3.4,7.78,4.67,766,823,48.21,1573,1606,49.48,1088,1175,48.08,73.59,80.31,47.81,FLA,FLA,L,D,27,Finland,185,76,False,Left,FLA,False,2023-07-01,27,None,3,UFA,unrestricted,2026,2500000
Ryan Lindgren,76,3,14,17,22,36,0.22,3,17,0,0,0,0,0,1,73,4.1,19.35,0.0,3.77,73,165,106,0.15,2.98,6.73,4.33,612,785,43.81,1202,1621,42.58,901,1155,43.82,62.73,90.63,40.9,NYR,NYR,L,D,25,United States,191,72,False,Left,NYR,True,2021-05-10,23,None,3,RFA,restricted,2024,3000000
Ryan Suter,82,2,15,17,14,28,0.21,2,16,0,0,0,1,0,1,102,2.0,18.93,0.0,3.8,102,254,163,0.15,3.94,9.81,6.3,709,772,47.87,1490,1547,49.06,1074,1134,48.64,71.97,68.29,51.31,DAL,DAL,L,D,38,United States,206,74,False,Left,DAL,False,2021-07-28,36,NMC,4,UFA,unrestricted,2025,3650000
Juuso Valimaki,68,2,15,17,12,12,0.25,2,13,0,4,0,0,0,0,69,2.9,19.1,0.0,4.19,69,164,119,0.19,3.19,7.58,5.5,595,612,49.3,1254,1251,50.06,910,906,50.11,62.97,60.69,50.92,ARI,ARI,L,D,24,Finland,212,74,False,Left,ARI,True,2023-01-24,24,None,1,RFA,restricted,2024,1000000
Jackson LaCombe,71,2,15,17,-24,24,0.24,2,14,0,2,0,1,0,1,55,3.6,19.38,0.0,3.98,54,128,82,0.18,2.39,5.67,3.63,517,752,40.74,1043,1532,40.5,749,1086,40.82,54.07,82.46,39.6,ANA,ANA,L,D,22,United States,201,74,True,Left,ANA,False,2023-04-10,21,None,2,ELC,restricted,2024,1387500
Calen Addison,72,1,16,17,-38,72,0.24,1,8,0,9,0,0,0,0,93,1.1,17.27,0.0,5.11,92,217,124,0.25,4.51,10.65,6.09,590,609,49.21,1265,1226,50.78,864,875,49.68,61.5,69.45,46.96,MIN,SJS,R,D,23,Canada,178,70,False,Right,MIN,False,2023-09-19,23,None,1,RFA,unrestricted,2024,825000
Scott Perunovich,54,0,17,17,1,12,0.31,0,11,0,6,0,0,0,0,36,0.0,15.27,0.0,1.86,36,80,53,0.14,2.62,5.82,3.86,431,355,54.83,832,705,54.13,613,519,54.15,45.04,36.81,55.03,STL,STL,L,D,24,United States,172,69,False,Left,STL,True,2023-06-24,24,None,1,RFA,restricted,2024,775000
Sam Carrick,77,10,6,16,-11,102,0.21,7,13,1,1,2,2,0,0,92,10.9,12.22,53.4,11.74,91,156,128,0.76,5.91,10.13,8.31,379,574,39.77,735,1131,39.39,539,809,39.99,37.22,70.41,34.59,ANA,EDM,R,C,31,Canada,197,72,True,Right,ANA,False,2022-04-26,30,None,2,UFA,unrestricted,2024,850000
Trevor Lewis,82,8,8,16,7,20,0.2,7,13,0,1,1,2,0,2,130,6.2,11.63,42.6,12.6,130,211,175,0.8,8.27,13.44,11.15,413,480,46.25,840,1041,44.66,587,714,45.12,37.97,50.2,43.06,LAK,LAK,R,C,36,United States,202,73,True,Right,LAK,False,2023-07-01,36,None,1,UFA,unrestricted,2024,775000
Kailer Yamamoto,59,8,8,16,-9,18,0.27,6,10,2,6,0,0,0,2,61,13.1,11.98,35.5,9.61,61,108,87,0.82,5.17,9.16,7.38,350,267,56.73,785,536,59.42,532,385,58.02,38.4,25.29,60.29,SEA,SEA,R,R,24,United States,153,68,False,Right,SEA,False,2023-07-02,24,None,1,UFA,unrestricted,2024,1500000
Emil Bemstrom,56,8,8,16,-5,12,0.29,4,11,4,5,0,0,0,1,83,9.6,11.13,37.5,8.74,83,157,124,0.84,7.98,15.1,11.93,323,284,53.21,666,572,53.8,469,392,54.47,30.32,25.96,53.87,CBJ,PIT,R,C,24,Sweden,190,72,True,Right,CBJ,False,2022-08-03,23,None,2,RFA,unrestricted,2024,900000
Andre Burakovsky,49,7,9,16,-15,14,0.33,2,7,5,9,0,0,0,1,92,7.6,14.57,50.0,8.77,87,199,126,0.76,7.48,17.11,10.84,365,313,53.83,805,640,55.71,532,450,54.18,37.94,30.91,55.11,SEA,SEA,L,L,28,Other,201,75,True,Left,SEA,False,2022-07-13,27,M-NTC,5,UFA,unrestricted,2027,5500000
Brandon Tanev,66,7,9,16,2,51,0.24,7,14,0,0,0,2,0,0,73,9.6,14.58,30.0,10.95,72,133,110,0.69,4.55,8.41,6.96,320,535,37.43,685,1171,36.9,475,826,36.51,32.42,61.11,34.65,SEA,SEA,L,L,31,Canada,180,72,True,Left,PIT,False,2019-07-01,27,M-NTC,6,UFA,unrestricted,2025,3500000
Brian Dumoulin,80,6,10,16,3,20,0.2,6,16,0,0,0,0,0,1,69,8.7,17.02,0.0,3.11,69,184,113,0.14,3.08,8.21,5.04,582,610,48.83,1243,1218,50.51,866,882,49.54,52.05,57.32,47.59,SEA,SEA,L,D,31,United States,207,76,False,Left,SEA,False,2023-07-01,31,M-NTC,2,UFA,unrestricted,2025,3150000
Nicolas Aube-Kubel,60,6,10,16,4,23,0.27,6,16,0,0,0,0,0,0,58,10.3,12.2,33.3,5.85,58,137,98,0.48,4.75,11.22,8.02,253,339,42.74,552,734,42.92,380,526,41.94,21.01,30.01,41.18,WSH,WSH,R,R,27,Canada,187,71,False,Right,WSH,True,2023-03-03,27,None,1,UFA,unrestricted,2024,1225000
Kent Johnson,42,6,10,16,-2,10,0.38,6,16,0,0,0,0,1,1,62,9.7,13.55,40.0,6.74,62,119,86,0.71,6.54,12.55,9.07,311,261,54.37,612,512,54.45,436,361,54.71,30.1,24.74,54.89,CBJ,CBJ,L,C,20,Canada,168,73,True,Left,CBJ,False,2022-04-08,18,None,3,ELC,restricted,2024,1850000
Dougie Hamilton,20,5,11,16,-8,20,0.8,1,8,4,8,0,0,0,0,61,8.2,20.98,0.0,2.95,61,150,88,0.42,8.72,21.45,12.59,273,209,56.64,558,367,60.32,380,290,56.72,30.14,25.76,53.92,NJD,NJD,R,D,30,Canada,229,78,False,Right,NJD,False,2021-07-28,28,NMC,7,UFA,unrestricted,2028,9000000
Lukas Reichel,65,5,11,16,-29,12,0.25,3,14,2,2,0,0,0,0,84,6.0,14.12,43.4,9.9,83,135,103,0.66,5.5,8.94,6.82,404,518,43.82,778,996,43.86,554,724,43.35,36.4,53.42,40.53,CHI,CHI,L,L,21,Other,170,72,True,Left,CHI,False,2021-06-09,19,None,3,ELC,restricted,2024,1337500
Pat Maroon,51,4,12,16,-11,60,0.31,4,15,0,1,0,0,0,0,56,7.1,12.85,37.5,5.68,56,106,74,0.52,5.13,9.71,6.78,301,309,49.34,616,646,48.81,425,460,48.02,26.6,29.06,47.79,MIN,BOS,L,L,35,United States,236,74,True,Left,TBL,True,2022-02-08,34,M-NTC,2,UFA,unrestricted,2024,1000000
Jack Johnson,80,3,13,16,15,38,0.2,3,16,0,0,0,0,0,0,76,4.0,14.93,0.0,3.44,75,200,110,0.18,3.83,10.21,5.62,547,601,47.65,1117,1258,47.03,791,911,46.47,47.44,58.09,44.95,COL,COL,L,D,36,United States,227,73,False,Left,COL,False,2023-07-02,36,None,1,UFA,unrestricted,2024,775000
Brett Kulak,82,3,13,16,0,30,0.2,3,15,0,1,0,0,0,1,94,3.2,15.38,0.0,3.53,91,210,126,0.17,4.4,10.16,6.09,576,545,51.38,1167,1111,51.23,819,787,51.0,58.87,52.44,52.89,EDM,EDM,L,D,29,Canada,197,74,True,Left,EDM,False,2022-07-13,28,None,4,UFA,unrestricted,2026,2750000
Martin Fehervary,66,3,13,16,-7,24,0.24,3,15,0,0,0,1,0,0,61,4.9,19.63,0.0,3.09,61,139,86,0.14,2.82,6.44,3.98,513,666,43.51,1109,1426,43.75,766,1000,43.37,57.21,66.84,46.11,WSH,WSH,L,D,23,Other,200,74,True,Left,WSH,False,2023-07-04,23,None,3,RFA,restricted,2026,2675000
Alex Vlasic,76,2,14,16,-4,45,0.21,2,14,0,2,0,0,0,1,71,2.8,21.48,0.0,3.66,70,167,101,0.14,2.61,6.23,3.77,660,845,43.85,1280,1701,42.94,915,1206,43.14,62.81,90.32,41.02,CHI,CHI,L,D,22,United States,200,78,False,Left,CHI,False,2022-03-15,20,None,3,ELC,restricted,2024,1491667
Adam Pelech,58,1,15,16,-2,27,0.28,1,15,0,0,0,1,1,1,71,1.4,20.28,0.0,3.52,71,188,120,0.18,3.62,9.59,6.12,511,686,42.69,1027,1391,42.47,745,969,43.47,46.1,68.17,40.34,NYI,NYI,L,D,28,Canada,218,75,False,Left,NYI,False,2021-08-06,26,NTC,8,RFA,unrestricted,2029,5750000
Jeff Carter,72,11,4,15,-7,12,0.21,5,9,4,4,2,2,0,4,90,12.2,12.57,62.5,12.28,90,175,134,0.81,5.97,11.6,8.88,392,453,46.39,807,989,44.93,565,694,44.88,43.02,49.46,46.52,PIT,PIT,R,C,38,Canada,219,75,True,Right,PIT,True,2022-01-26,37,NMC,2,UFA,unrestricted,2024,3125000
Dominik Kubalik,74,11,4,15,-30,19,0.2,7,11,4,4,0,0,0,2,91,12.1,12.12,40.5,10.84,91,173,137,0.73,6.09,11.57,9.16,414,408,50.36,860,849,50.32,629,584,51.85,40.85,40.85,50.0,OTT,OTT,L,L,27,Other,179,74,True,Left,DET,False,2022-07-13,26,None,2,UFA,unrestricted,2024,2500000
Kevin Stenlund,81,11,4,15,-10,62,0.19,9,13,0,0,2,2,0,3,81,13.6,12.6,51.4,8.68,81,142,104,0.51,4.76,8.35,6.11,392,531,42.47,759,1082,41.23,524,768,40.56,30.31,59.12,33.89,FLA,FLA,R,C,26,Sweden,210,76,True,Right,FLA,False,2023-07-01,26,None,1,UFA,unrestricted,2024,1000000
Alex Nylander,28,11,4,15,-1,6,0.54,9,13,2,2,0,0,0,2,72,15.3,16.25,47.4,10.02,72,128,102,1.32,9.5,16.88,13.45,273,258,51.41,566,448,55.82,394,333,54.2,30.45,25.46,54.46,PIT,CBJ,R,L,25,Canada,192,73,True,Right,PIT,True,2023-04-29,25,None,1,RFA,unrestricted,2024,775000
Nick Cousins,69,7,8,15,1,64,0.22,7,15,0,0,0,0,0,3,111,6.3,12.18,53.1,11.04,111,181,142,0.79,7.92,12.92,10.13,451,370,54.93,941,751,55.61,633,551,53.46,38.54,38.61,49.95,FLA,FLA,L,C,29,Canada,183,71,True,Left,FLA,False,2022-07-13,28,None,2,UFA,unrestricted,2024,1100000
Mark Jankowski,32,7,8,15,11,8,0.47,6,13,0,1,1,1,0,1,48,14.6,12.67,50.3,7.39,48,90,73,1.09,7.09,13.3,10.79,224,180,55.45,437,345,55.88,325,244,57.12,23.22,18.14,56.13,NSH,NSH,L,C,28,Canada,212,76,True,Left,NSH,True,2023-03-13,28,None,1,UFA,unrestricted,2024,775000
Victor Olofsson,51,7,8,15,-1,4,0.29,6,12,1,3,0,0,0,1,66,10.6,11.57,0.0,5.86,66,127,97,0.6,6.71,12.92,9.86,277,250,52.56,538,510,51.34,407,391,51.0,26.22,26.05,50.16,BUF,BUF,L,L,27,Sweden,183,71,True,Left,BUF,False,2022-07-13,26,None,2,RFA,unrestricted,2024,4750000
Blake Lizotte,62,7,8,15,11,20,0.24,5,12,0,0,2,3,0,2,76,9.2,11.82,46.9,7.92,75,126,98,0.66,6.25,10.5,8.16,337,389,46.42,664,785,45.82,465,557,45.5,28.71,36.64,43.93,LAK,LAK,L,C,25,United States,175,67,False,Left,LAK,True,2022-03-21,24,None,2,RFA,unrestricted,2024,1675000
Arthur Kaliyev,51,7,8,15,-3,14,0.29,4,11,3,4,0,0,0,0,101,6.9,11.8,0.0,9.75,101,211,155,0.97,10.07,21.03,15.45,377,237,61.4,738,465,61.35,565,329,63.2,37.2,22.48,62.33,LAK,LAK,L,R,22,Other,190,74,True,Left,LAK,False,2020-06-03,19,None,3,ELC,restricted,2024,1035833
Viktor Arvidsson,18,6,9,15,4,14,0.83,5,10,1,5,0,0,0,1,59,10.2,16.7,33.3,5.91,56,95,76,1.25,11.82,20.04,16.04,178,101,63.8,332,222,59.93,249,156,61.48,19.57,12.88,60.32,LAK,LAK,R,R,30,Sweden,180,69,True,Right,NSH,False,2017-07-22,24,None,7,RFA,unrestricted,2024,4250000
Trevor Zegras,31,6,9,15,-1,30,0.48,5,14,1,1,0,0,0,1,73,8.2,17.08,38.4,7.79,72,133,104,0.91,8.38,15.48,12.11,284,234,54.83,547,466,54.0,405,343,54.14,33.25,23.78,58.3,ANA,ANA,L,C,22,United States,185,72,True,Left,ANA,False,2023-10-02,22,None,3,RFA,restricted,2026,5750000
Brendan Smith,63,5,10,15,-3,61,0.24,5,15,0,0,0,0,0,0,60,8.3,16.1,0.0,3.58,60,136,95,0.21,3.55,8.03,5.62,399,551,42.0,810,1123,41.9,570,800,41.61,37.27,58.41,38.95,NJD,NJD,L,D,34,Canada,200,74,True,Left,NJD,False,2022-07-13,33,None,2,UFA,unrestricted,2024,1100000
Frederick Gaudreau,67,5,10,15,-23,12,0.22,3,8,2,7,0,0,0,1,105,4.8,13.95,49.9,6.32,103,182,137,0.41,6.69,11.83,8.9,380,473,44.55,778,957,44.84,565,665,45.93,36.65,49.14,42.72,MIN,MIN,R,C,30,Canada,179,72,True,Right,MIN,True,2023-04-13,30,M-NTC,5,UFA,unrestricted,2028,2100000
Max Jones,52,5,10,15,-6,33,0.29,5,14,0,1,0,0,0,0,76,6.6,12.05,31.3,10.11,76,133,111,0.97,7.27,12.73,10.62,269,321,45.59,545,625,46.58,400,462,46.4,26.86,30.55,46.79,ANA,ANA,L,L,25,United States,220,75,True,Left,ANA,False,2021-08-09,23,None,3,RFA,unrestricted,2024,1295000
Kevin Korchinski,76,5,10,15,-39,20,0.2,5,8,0,7,0,0,1,2,93,5.4,19.62,0.0,3.31,93,224,133,0.14,3.8,9.16,5.44,680,775,46.74,1365,1512,47.45,955,1104,46.38,64.13,79.09,44.77,CHI,CHI,L,D,19,Canada,185,74,False,Left,CHI,False,2022-08-10,18,None,3,ELC,restricted,2026,1918333
Matthew Poitras,33,5,10,15,4,6,0.45,5,14,0,1,0,0,0,1,40,12.5,13.4,43.7,3.97,40,77,49,0.54,5.43,10.45,6.65,229,207,52.52,459,440,51.06,327,318,50.7,23.84,18.02,56.95,BOS,BOS,R,C,19,Canada,177,71,False,Right,BOS,False,2023-05-05,19,None,3,ELC,restricted,2026,950000
Conor Sheary,57,4,11,15,-3,12,0.26,4,15,0,0,0,0,0,0,50,8.0,11.1,36.4,5.71,50,90,65,0.54,4.75,8.53,6.17,251,286,46.74,553,598,48.05,378,402,48.46,24.85,29.27,45.92,TBL,TBL,L,L,31,United States,179,68,True,Left,TBL,False,2023-07-01,31,NTC,3,UFA,unrestricted,2026,2000000
Jamie Oleksiak,82,2,13,15,-2,37,0.18,2,13,0,0,0,2,0,0,108,1.9,19.65,0.0,5.54,108,211,146,0.21,4.07,7.95,5.5,686,911,42.96,1364,1953,41.12,988,1380,41.72,66.12,98.38,40.19,SEA,SEA,L,D,30,Canada,255,79,True,Left,SEA,True,2021-07-21,28,NTC,5,UFA,unrestricted,2026,4600000
Tyson Barrie,41,1,14,15,-10,16,0.37,1,9,0,6,0,0,0,0,65,1.5,18.32,0.0,4.37,65,151,95,0.35,5.19,12.06,7.59,414,390,51.49,791,725,52.18,572,528,52.0,44.38,40.76,52.13,NSH,NSH,R,D,31,Canada,197,71,False,Right,EDM,False,2021-07-28,29,None,3,UFA,unrestricted,2024,4500000
Zemgus Girgensons,63,8,6,14,-1,21,0.22,8,14,0,0,0,0,0,3,73,11.0,11.85,47.7,7.5,73,135,105,0.6,5.87,10.85,8.44,297,371,44.46,650,760,46.1,448,547,45.03,28.22,42.47,39.92,BUF,BUF,L,L,29,Other,211,74,True,Left,BUF,True,2023-06-20,29,None,1,UFA,unrestricted,2024,2500000
Klim Kostin,52,8,6,14,-12,53,0.27,8,13,0,1,0,0,0,0,43,18.6,10.92,40.0,4.53,43,87,66,0.49,4.65,9.41,7.14,233,278,45.6,503,565,47.1,359,406,46.93,22.28,28.49,43.88,DET,SJS,L,C,24,Russia,212,75,True,Left,DET,True,2023-07-01,24,None,2,UFA,restricted,2025,2000000
Tanner Jeannot,55,7,7,14,-10,75,0.25,6,12,1,2,0,0,0,0,59,11.9,12.02,35.9,8.48,59,117,88,0.77,5.36,10.62,7.99,316,290,52.15,646,573,52.99,455,384,54.23,29.51,24.29,54.85,TBL,TBL,L,L,26,Canada,207,74,True,Left,TBL,False,2023-07-15,26,None,2,RFA,unrestricted,2025,2665000
Jeremy Lauzon,79,6,8,14,-3,98,0.18,6,14,0,0,0,0,0,0,103,5.8,18.62,0.0,5.2,103,250,152,0.21,4.2,10.19,6.2,665,827,44.57,1261,1563,44.65,933,1138,45.05,62.01,89.9,40.82,NSH,NSH,L,D,26,Canada,204,73,True,Left,NSH,True,2022-06-13,25,None,4,RFA,unrestricted,2026,2000000
Jesper Boqvist,47,6,8,14,12,8,0.3,6,14,0,0,0,0,1,1,51,11.8,11.15,35.7,4.34,52,75,60,0.5,5.95,8.59,6.87,226,211,51.72,429,477,47.35,312,331,48.52,21.79,18.05,54.69,BOS,BOS,L,C,24,Sweden,180,72,True,Left,BOS,False,2023-07-12,24,None,1,UFA,unrestricted,2024,775000
Logan Stankoven,24,6,8,14,10,4,0.58,5,12,1,2,0,0,0,0,51,11.8,14.67,64.7,7.15,51,104,78,1.22,8.69,17.72,13.29,226,142,61.41,461,302,60.42,324,212,60.45,26.49,11.87,69.06,DAL,DAL,R,C,20,Canada,170,68,True,Right,DAL,False,2021-09-28,18,None,3,ELC,restricted,2026,880000
Liam O'Brien,75,5,9,14,0,153,0.19,5,14,0,0,0,0,0,0,72,6.9,9.73,21.4,8.57,72,133,103,0.7,5.92,10.94,8.47,286,362,44.14,590,774,43.26,415,539,43.5,28.43,31.81,47.19,ARI,ARI,L,C,28,Canada,215,73,True,Left,ARI,True,2022-03-06,27,None,2,UFA,unrestricted,2024,775000
Justin Bailey,59,5,9,14,-15,6,0.24,5,13,0,1,0,0,0,0,70,7.1,11.28,35.3,5.91,70,142,101,0.53,6.31,12.8,9.1,294,346,45.94,653,687,48.73,437,500,46.64,24.38,33.95,41.8,SJS,SJS,R,R,28,United States,214,76,False,Right,SJS,False,2023-11-27,27,None,1,UFA,unrestricted,2024,775000
