player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
J.T. Compher,77,19,29,48,-5,34,0.62,12,36,5,10,2,2,0,0,108,17.6,19.38,44.8,19.03,108,186,145,0.76,4.34,7.48,5.83,681,840,44.77,1372,1724,44.32,968,1239,43.86,82.42,99.58,45.29,DET,DET,R,L,28,United States,190,72,True,Right,DET,False,2023-07-01,28,M-NTC,5,UFA,unrestricted,2028,5100000
Filip Hronek,81,5,43,48,33,38,0.59,3,37,2,11,0,0,0,0,148,3.4,23.43,0.0,7.85,148,379,230,0.25,4.68,11.98,7.27,909,951,48.87,1930,1768,52.19,1354,1351,50.06,105.9,104.75,50.27,VAN,VAN,R,D,25,Other,183,72,False,Right,DET,False,2021-09-03,23,None,3,RFA,restricted,2024,4400000
Patrick Kane,50,20,27,47,-5,16,0.94,18,32,2,15,0,0,3,7,147,13.6,18.38,0.0,14.33,147,266,194,0.94,9.6,17.37,12.67,551,431,56.11,1058,854,55.33,771,619,55.47,60.13,44.2,57.63,DET,DET,L,R,34,United States,177,70,False,Left,DET,False,2023-11-28,34,NTC,1,UFA,unrestricted,2024,2750000
Conor Garland,82,20,27,47,19,35,0.57,19,42,1,5,0,0,0,3,200,10.0,14.53,20.0,20.28,199,357,274,1.03,10.15,18.21,13.98,637,449,58.66,1294,871,59.77,939,624,60.08,73.81,40.88,64.36,VAN,VAN,R,R,27,United States,165,70,True,Right,VAN,True,2021-07-27,25,None,5,RFA,unrestricted,2026,4950000
Dylan Cozens,79,18,29,47,-4,42,0.59,13,34,2,10,3,3,1,1,200,9.0,17.23,45.6,23.63,200,367,262,1.04,8.82,16.18,11.55,779,713,52.21,1468,1368,51.76,1073,1007,51.59,83.08,84.8,49.49,BUF,BUF,R,C,22,Canada,183,75,True,Right,BUF,True,2023-02-07,22,None,7,RFA,unrestricted,2030,7100000
David Perron,76,17,30,47,-12,55,0.62,10,30,7,17,0,0,0,4,151,11.3,15.63,47.1,18.43,151,261,200,0.93,7.63,13.18,10.1,633,523,54.76,1261,1022,55.23,894,753,54.28,72.62,57.71,55.72,DET,DET,R,L,35,Canada,200,72,True,Right,DET,False,2022-07-13,34,M-NTC,2,UFA,unrestricted,2024,4750000
Phillip Danault,78,17,30,47,12,18,0.6,14,36,3,9,0,2,0,2,159,10.7,18.02,51.9,19.51,157,274,217,0.84,6.79,11.85,9.39,807,641,55.73,1543,1291,54.45,1168,909,56.23,84.77,69.45,54.96,LAK,LAK,L,C,30,Canada,201,73,False,Left,LAK,False,2021-07-28,28,NMC,6,UFA,unrestricted,2027,5500000
Thomas Harley,79,15,32,47,28,18,0.59,13,37,1,9,1,1,3,3,144,10.4,21.02,0.0,7.84,144,347,209,0.28,5.2,12.54,7.55,901,688,56.7,1872,1465,56.1,1324,1034,56.15,94.2,68.84,57.78,DAL,DAL,L,D,21,United States,188,75,False,Left,DAL,False,2019-09-23,17,None,3,ELC,restricted,2024,1288333
Brady Skjei,80,13,34,47,15,40,0.59,11,31,1,12,1,4,0,2,185,7.0,21.28,0.0,9.15,183,431,280,0.32,6.45,15.19,9.86,883,759,53.78,1884,1454,56.44,1346,1078,55.53,92.78,90.15,50.72,CAR,CAR,L,D,29,United States,210,75,False,Left,NYR,False,2018-07-28,24,M-NTC,6,RFA,unrestricted,2024,5250000
Noah Hanifin,80,13,34,47,19,24,0.59,8,32,5,13,0,2,0,2,164,7.9,23.62,0.0,11.65,164,413,268,0.37,5.21,13.12,8.51,993,965,50.72,1957,1938,50.24,1414,1371,50.77,111.27,114.44,49.3,CGY,VGK,L,D,26,United States,215,75,False,Left,CGY,False,2018-08-30,21,M-NTC,6,RFA,unrestricted,2024,4950000
